cl,lc,lt,sl,tl,tp,ts
2506,False,8000,1,1,PÇA. RAMOS DE AZEVEDO,TERM. LAPA
35274,False,8000,2,1,PÇA. RAMOS DE AZEVEDO,TERM. LAPA
1273,False,8000,1,10,PÇA. RAMOS DE AZEVEDO,TERM. LAPA
34041,False,8000,2,10,PÇA. RAMOS DE AZEVEDO,TERM. LAPA
1251,False,8001,1,10,TERM. LAPA,VL. PIAUÍ
34019,False,8001,2,10,TERM. LAPA,VL. PIAUÍ
1252,False,8002,1,10,TERM. LAPA,TERM. PIRITUBA
34020,False,8002,2,10,TERM. LAPA,TERM. PIRITUBA
1253,False,8003,1,10,TERM. LAPA,REMÉDIOS
34021,False,8003,2,10,TERM. LAPA,REMÉDIOS
2582,True,8003,1,21,REMÉDIOS,TERM. LAPA
35350,True,8003,2,21,REMÉDIOS,TERM. LAPA
1254,False,8004,1,10,TERM. LAPA,HAB. TURÍSTICA
34022,False,8004,2,10,TERM. LAPA,HAB. TURÍSTICA
1256,False,8006,1,10,TERM. PIRITUBA,JD. DONÁRIA
34024,False,8006,2,10,TERM. PIRITUBA,JD. DONÁRIA
1257,False,8007,1,10,TERM. PIRITUBA,HAB. TURÍSTICA
34025,False,8007,2,10,TERM. PIRITUBA,HAB. TURÍSTICA
1258,False,8008,1,10,TERM. PIRITUBA,HAB. TURÍSTICA
34026,False,8008,2,10,TERM. PIRITUBA,HAB. TURÍSTICA
1259,False,8009,1,10,TERM. PIRITUBA,CID. D'ABRIL 3ª GLEBA
34027,False,8009,2,10,TERM. PIRITUBA,CID. D'ABRIL 3ª GLEBA
1260,False,8009,1,31,TERM. PIRITUBA,CID. D'ABRIL 3ª GLEBA
34028,False,8009,2,31,TERM. PIRITUBA,CID. D'ABRIL 3ª GLEBA
798,False,8010,1,10,LAPA,PERUS
33566,False,8010,2,10,LAPA,PERUS
1737,True,8010,1,21,SÍTIO BOTUQUARA,CPTM PERUS
34505,True,8010,2,21,SÍTIO BOTUQUARA,CPTM PERUS
2023,False,8012,1,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
34791,False,8012,2,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
800,False,8013,1,10,LAPA,TERM. JD. BRITANIA
33568,False,8013,2,10,LAPA,TERM. JD. BRITANIA
2011,True,8013,1,41,JD. PAINEIRAS,TERM. JD. BRITANIA
34779,True,8013,2,41,JD. PAINEIRAS,TERM. JD. BRITANIA
801,True,8014,1,10,PERUS,MORRO DOCE
33569,True,8014,2,10,PERUS,MORRO DOCE
1345,False,8015,1,10,TERM. PIRITUBA,CEM. DE PERUS
34113,False,8015,2,10,TERM. PIRITUBA,CEM. DE PERUS
2029,True,8015,1,21,CPTM PERUS,CEM. DE PERUS
34797,True,8015,2,21,CPTM PERUS,CEM. DE PERUS
1346,False,8016,1,10,TERM. PIRITUBA,JD. RINCÃO
34114,False,8016,2,10,TERM. PIRITUBA,JD. RINCÃO
1261,False,8017,1,10,TERM. PIRITUBA,CPTM VL. AURORA
34029,False,8017,2,10,TERM. PIRITUBA,CPTM VL. AURORA
2577,False,8017,1,21,CPTM VL. AURORA,VOITH
35345,False,8017,2,21,CPTM VL. AURORA,VOITH
2070,True,8018,1,10,METRÔ MORUMBI,VL. SÔNIA
34838,True,8018,2,10,METRÔ MORUMBI,VL. SÔNIA
2071,True,8019,1,10,METRÔ BUTANTÃ,PQ. CONTINENTAL
34839,True,8019,2,10,METRÔ BUTANTÃ,PQ. CONTINENTAL
2574,False,8019,1,31,TERM. VL. SÔNIA,PQ. CONTINENTAL
35342,False,8019,2,31,TERM. VL. SÔNIA,PQ. CONTINENTAL
1726,True,8020,1,10,SHOP. MORUMBI,BUTANTÃ
34494,True,8020,2,10,SHOP. MORUMBI,BUTANTÃ
2073,True,8021,1,10,BUTANTÃ,JD. MARIA LUIZA
34841,True,8021,2,10,BUTANTÃ,JD. MARIA LUIZA
2085,False,8022,1,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
34853,False,8022,2,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
