cl,lc,lt,sl,tl,tp,ts
1775,False,6042,1,21,CEU CAPÃO REDONDO,TERM. CAPELINHA
34543,False,6042,2,21,CEU CAPÃO REDONDO,TERM. CAPELINHA
1999,False,7005,1,51,METRÔ CAPÃO REDONDO ,JD. VERA CRUZ
34767,False,7005,2,51,METRÔ CAPÃO REDONDO ,JD. VERA CRUZ
1997,False,7006,1,51,METRÔ CAPÃO REDONDO,JD. HORIZONTE AZUL
34765,False,7006,2,51,METRÔ CAPÃO REDONDO,JD. HORIZONTE AZUL
56,False,6048,1,10,STO. AMARO,CAPÃO REDONDO
32824,False,6048,2,10,STO. AMARO,CAPÃO REDONDO
13,False,6836,1,10,TERM. JOÃO DIAS,CAPÃO REDONDO
32781,False,6836,2,10,TERM. JOÃO DIAS,CAPÃO REDONDO
2586,True,6036,1,51,HOSP. CAMPO LIMPO,JD. MACEDÔNIA
35354,True,6036,2,51,HOSP. CAMPO LIMPO,JD. MACEDÔNIA
1912,False,7049,1,10,TERM. CAMPO LIMPO,PQ. DO LAGO
34680,False,7049,2,10,TERM. CAMPO LIMPO,PQ. DO LAGO
1884,False,7050,1,10,TERM. CAMPO LIMPO,JD. DAS ROSAS
34652,False,7050,2,10,TERM. CAMPO LIMPO,JD. DAS ROSAS
1885,False,7051,1,10,TERM. CAMPO LIMPO,JD. ROSANA
34653,False,7051,2,10,TERM. CAMPO LIMPO,JD. ROSANA
1886,False,7052,1,10,TERM. CAMPO LIMPO,JD. HELGA
34654,False,7052,2,10,TERM. CAMPO LIMPO,JD. HELGA
1887,False,7053,1,10,TERM. CAMPO LIMPO,JD. MACEDÔNIA
34655,False,7053,2,10,TERM. CAMPO LIMPO,JD. MACEDÔNIA
1895,False,7053,1,21,TERM. CAMPO LIMPO,JD. MARIA SAMPAIO
34663,False,7053,2,21,TERM. CAMPO LIMPO,JD. MARIA SAMPAIO
1896,False,7053,1,22,TERM. CAMPO LIMPO,JD. MARIA SAMPAIO
34664,False,7053,2,22,TERM. CAMPO LIMPO,JD. MARIA SAMPAIO
41,False,7054,1,10,TERM. CAMPO LIMPO,JD. MACEDÔNIA
32809,False,7054,2,10,TERM. CAMPO LIMPO,JD. MACEDÔNIA
1888,False,7055,1,10,TERM. CAMPO LIMPO,JD. GUARUJÁ
